year,movie_name,best_picture,best_picture_won,best_animated_feature,best_animated_feature_won,best_foreign,best_foreign_won,best_doc,best_doc_won,best_doc_short,best_doc_short_won,best_live_short,best_live_short_won,best_animated_short,best_animated_short_won,release_year,period,movie_id,rating,review_num,winner,min,0
2019,Spider-Man: Into the Spider-Verse,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0,tt4633694,8.804210526315789,950,1,,4
2019,Spider-Man: Into the Spider-Verse,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,tt4633694,8.518716577540108,374,1,,4
2019,Isle of Dogs,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0,tt5104604,7.822222222222222,45,0,1.0,4
2019,Isle of Dogs,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,tt5104604,7.0,19,0,1.0,4
2019,Free Solo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0,tt7775622,8.24074074074074,54,1,,4
2019,Free Solo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,tt7775622,7.725663716814159,113,1,,4
2019,Minding the Gap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0,tt7476236,7.8125,16,0,1.0,4
2019,Minding the Gap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,tt7476236,9.8,5,0,1.0,4
2020,Parasite,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,0,tt6751668,8.182380216383308,647,1,,4
2020,Parasite,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,tt6751668,7.313990461049284,1258,1,,4
2020,Jojo Rabbit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,0,tt2584384,8.21216848673947,641,0,1.0,4
